,name,max_value,min_value,mean_value,nrows,ncols
99,GSM86886.cel,46093.0,67.5,537.88,712.0,712.0
100,GSM86887.cel,46093.0,67.5,537.88,712.0,712.0
101,GSM86888.cel,46093.0,67.5,537.88,712.0,712.0
102,GSM86889.cel,46093.0,67.5,537.88,712.0,712.0
103,GSM86890.cel,46093.0,67.5,537.88,712.0,712.0
104,GSM86891.cel,46093.0,67.5,537.88,712.0,712.0
105,GSM86892.cel,46093.0,67.5,537.88,712.0,712.0
106,GSM86893.cel,46093.0,67.5,537.88,712.0,712.0
107,GSM86894.cel,46093.0,67.5,537.88,712.0,712.0
108,GSM86895.cel,46093.0,67.5,537.88,712.0,712.0
109,GSM86896.cel,46093.0,67.5,537.88,712.0,712.0
110,GSM86897.cel,46093.0,67.5,537.88,712.0,712.0
111,GSM86898.cel,46093.0,67.5,537.88,712.0,712.0
112,GSM86899.CEL,46093.0,67.5,537.88,712.0,712.0
113,GSM86900.cel,46093.0,67.5,537.88,712.0,712.0
114,GSM86901.cel,46093.0,67.5,537.88,712.0,712.0
115,GSM86902.cel,46093.0,67.5,537.88,712.0,712.0
116,GSM86903.cel,46093.0,67.5,537.88,712.0,712.0
117,GSM86904.cel,46093.0,67.5,537.88,712.0,712.0
118,GSM86905.cel,46093.0,67.5,537.88,712.0,712.0
119,GSM86906.cel,46093.0,67.5,537.88,712.0,712.0
120,GSM86907.cel,46093.0,67.5,537.88,712.0,712.0
121,GSM86908.cel,46093.0,67.5,537.88,712.0,712.0
122,GSM86909.cel,46093.0,67.5,537.88,712.0,712.0
123,GSM86910.cel,46093.0,67.5,537.88,712.0,712.0
124,GSM86911.cel,46093.0,67.5,537.88,712.0,712.0
125,GSM86912.cel,46093.0,67.5,537.88,712.0,712.0
126,GSM86913.cel,46093.0,67.5,537.88,712.0,712.0
127,GSM86914.cel,46093.0,67.5,537.88,712.0,712.0
128,GSM86915.cel,46093.0,67.5,537.88,712.0,712.0
129,GSM86916.cel,46093.0,67.5,537.88,712.0,712.0
130,GSM86917.cel,46093.0,67.5,537.88,712.0,712.0
131,GSM86918.cel,46093.0,67.5,537.88,712.0,712.0
132,GSM86919.cel,46093.0,67.5,537.88,712.0,712.0
133,GSM86920.cel,46093.0,67.5,537.88,712.0,712.0
134,GSM86921.cel,46093.0,67.5,537.88,712.0,712.0
135,GSM86922.cel,46093.0,67.5,537.88,712.0,712.0
136,GSM86923.cel,46093.0,67.5,537.88,712.0,712.0
137,GSM86924.cel,46093.0,67.5,537.88,712.0,712.0
138,GSM86925.cel,46093.0,67.5,537.88,712.0,712.0
139,GSM86926.cel,46093.0,67.5,537.88,712.0,712.0
140,GSM86927.cel,46093.0,67.5,537.88,712.0,712.0
141,GSM86928.cel,46093.0,67.5,537.88,712.0,712.0
142,GSM86929.cel,46093.0,67.5,537.88,712.0,712.0
143,GSM86930.cel,46093.0,67.5,537.88,712.0,712.0
144,GSM86931.cel,46093.0,67.5,537.88,712.0,712.0
145,GSM86932.cel,46093.0,67.5,537.88,712.0,712.0
146,GSM86933.cel,46093.0,67.5,537.88,712.0,712.0
147,GSM86934.cel,46093.0,67.5,537.88,712.0,712.0
148,GSM86935.cel,46093.0,67.5,537.88,712.0,712.0
149,GSM86936.cel,46093.0,67.5,537.88,712.0,712.0
150,GSM86937.cel,46093.0,67.5,537.88,712.0,712.0
151,GSM86938.cel,46093.0,67.5,537.88,712.0,712.0
152,GSM86939.cel,46093.0,67.5,537.88,712.0,712.0
153,GSM86940.cel,46093.0,67.5,537.88,712.0,712.0
154,GSM86941.cel,46093.0,67.5,537.88,712.0,712.0
155,GSM86942.cel,46093.0,67.5,537.88,712.0,712.0
156,GSM86943.cel,46093.0,67.5,537.88,712.0,712.0
157,GSM86944.cel,46093.0,67.5,537.88,712.0,712.0
158,GSM86945.cel,46093.0,67.5,537.88,712.0,712.0
159,GSM86946.cel,46093.0,67.5,537.88,712.0,712.0
160,GSM86947.cel,46093.0,67.5,537.88,712.0,712.0
