Best Fitness,Min Variables
-0.5520864024118675,578
-0.5957569632395765,578
-0.6273938812566378,578
-0.6483786700469356,578
-0.6683733598273323,578
-0.6746017335297543,578
-0.680335057727226,578
-0.6992677035869677,578
-0.7073006954674705,578
-0.7147666929322689,578
-0.723861728733427,578
-0.7191904484566105,578
-0.7213145362979205,578
-0.7287805337627189,578
-0.728037959505293,578
-0.7324617150296344,578
-0.7376280448114017,578
-0.7355759018808457,578
-0.7472900750282641,578
-0.7508993113844258,578
-0.7563131659186679,578
-0.7563131659186679,578
-0.7563131659186679,578
-0.7550035972455378,578
-0.7602418719380588,578
-0.7617270204529103,578
-0.7617270204529103,578
-0.7630365891260407,578
-0.7672128198979067,578
-0.7687699133235124,578
-0.7688418582342664,578
-0.7794220425502758,578
-0.7799170920552263,578
-0.7799170920552263,578
-0.7799170920552263,578
-0.7822887046490117,578
-0.7822887046490117,578
-0.7825362294014868,578
-0.7825362294014868,578
-0.784588372332043,578
-0.7840933228270925,578
-0.7840933228270925,578
-0.7910642707869402,578
-0.7885170783514337,578
-0.7900022268662852,578
-0.7885170783514337,578
-0.7900741717770392,578
-0.7900741717770392,578
-0.7957355510637569,578
-0.7949929768063311,578
-0.7996642570831478,578
-0.8019639247661792,578
-0.7996642570831478,578
-0.8030259686868342,578
-0.8030259686868342,578
-0.8043355373599645,578
-0.8043355373599645,578
-0.8043355373599645,578
-0.8043355373599645,578
-0.8043355373599645,578
-0.8087592928843057,578
-0.8069546747062251,578
-0.8076972489636507,578
-0.8139256226660729,578
-0.8172873342697593,578
-0.8172873342697593,578
-0.8172873342697593,578
-0.8158021857549078,578
-0.8308061255952586,578
-0.8308061255952586,578
-0.8250728013977868,578
-0.8250728013977868,578
-0.8250728013977868,578
-0.8245777518928363,578
-0.8248252766453115,578
-0.8269493644866217,578
-0.8284345130014732,578
-0.8305586008427832,578
-0.8299916064270787,578
-0.8299916064270787,578
-0.8339203124464696,578
-0.8341678371989449,578
-0.8341678371989449,578
-0.8370344992976808,578
-0.8370344992976808,578
-0.8370344992976808,578
-0.8370344992976808,578
-0.8370344992976808,578
-0.8370344992976808,578
-0.8375295488026313,578
-0.842520298742677,578
-0.8407156805645963,578
-0.8422008290794478,578
-0.8409632053170715,578
-0.8409632053170715,578
-0.8409632053170715,578
-0.8409632053170715,578
-0.8443249169207578,578
-0.8443249169207578,578
-0.8443249169207578,578
