Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
CX_07,FS_CGA,0,Fitness,-0.5409392236801533
CX_07,FS_CGA,1,Fitness,-0.553643495837473
CX_07,FS_CGA,0,Time,4.360057830810547
CX_07,FS_CGA,1,Time,3.996811628341675
CX_07,FS_CGA,0,Vars,267.0
CX_07,FS_CGA,1,Vars,259.0
CX_08,FS_CGA,0,Fitness,-0.5632335811435816
CX_08,FS_CGA,1,Fitness,-0.5658527184898421
CX_08,FS_CGA,0,Time,4.710303544998169
CX_08,FS_CGA,1,Time,3.7699592113494873
CX_08,FS_CGA,0,Vars,253.0
CX_08,FS_CGA,1,Vars,251.0
CX_09,FS_CGA,0,Fitness,-0.5352058994826818
CX_09,FS_CGA,1,Fitness,-0.5424963171057591
CX_09,FS_CGA,0,Time,4.6728293895721436
CX_09,FS_CGA,1,Time,4.542296409606934
CX_09,FS_CGA,0,Vars,271.0
CX_09,FS_CGA,1,Vars,266.0
